bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,z_trade_count,z_amount_sum,z_avg_trade_size,z_spread,z_depth_drop,z_abs_midpoint_return,z_abs_depth_imbalance,activity_score,liquidity_score,price_dislocation_score,stress_score,is_stress_anomaly,market_file,market_stem
1770894300,2026-02-12 11:05:00,1,61888.0,185.664,0.002999999999999952,185.664,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.7392111574197062,0.828563253849899,0.0,0.0,0.0,0.0,1.3027497044249505,0.0,0.0,1.3027497044249505,False,1303357_YES.csv,1303357_YES
1770894420,2026-02-12 11:07:00,1,62900.0,188.7,0.002999999999999953,188.7,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.7469563205962271,0.8350896676385654,0.0,0.0,0.0,0.0,1.3170212813901376,0.0,0.0,1.3170212813901376,False,1303357_YES.csv,1303357_YES
1770894600,2026-02-12 11:10:00,1,60000.0,180.0,0.00299999999999995,180.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.621514271064522,0.7065943518710364,0.0,0.0,0.0,0.0,1.0630839160909036,0.0,0.0,1.0630839160909036,False,1303357_YES.csv,1303357_YES
1770894720,2026-02-12 11:12:00,1,62300.0,186.9,0.002999999999999952,186.9,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.6765509814324833,0.7613552511688807,0.0,0.0,0.0,0.0,1.1728815257567091,0.0,0.0,1.1728815257567091,False,1303357_YES.csv,1303357_YES
1770894900,2026-02-12 11:15:00,1,62100.0,186.3,0.002999999999999952,186.3,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.6447498813304107,0.7280361198879263,0.0,0.0,0.0,0.0,1.107761294373682,0.0,0.0,1.107761294373682,False,1303357_YES.csv,1303357_YES
1770895080,2026-02-12 11:18:00,1,62900.0,188.7,0.002999999999999953,188.7,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.6471645658331184,0.7299476798507105,0.0,0.0,0.0,0.0,1.1120875388391742,0.0,0.0,1.1120875388391742,False,1303357_YES.csv,1303357_YES
1770897660,2026-02-12 12:01:00,1,64109.26,192.32778,0.0029999999999999537,192.32778,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.6647158916974447,0.747059396680093,0.0,0.0,0.0,0.0,1.146750581532883,0.0,0.0,1.146750581532883,False,1303357_YES.csv,1303357_YES
1770914340,2026-02-12 16:39:00,1,400.0,1.2,0.0029999999999925,1.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6641475958623937,-1.5986605835384533,0.0,0.0,0.0,0.0,-3.527832886245502,0.0,0.0,-3.527832886245502,False,1303357_YES.csv,1303357_YES
1770914400,2026-02-12 16:40:00,1,2.0,0.006,0.0029999999985,0.006,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.676036008607996,-1.6107871230091888,0.0,0.0,0.0,0.0,-3.5518478384618395,0.0,0.0,-3.5518478384618395,False,1303357_YES.csv,1303357_YES
1770917520,2026-02-12 17:32:00,1,5.0,0.015,0.0029999999994,0.015,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6741614171009418,-1.608999656355415,0.0,0.0,0.0,0.0,-3.5481857803010115,0.0,0.0,-3.5481857803010115,False,1303357_YES.csv,1303357_YES
